Date,Formation Date,Portfolio Return,Benchmark Return,Active Return,Portfolio Growth,Benchmark Growth
2011-03-31,2010-06-30,0.0030213214643742044,0.0032465648098948014,-0.00022524334552059691,1.0902683722908566,1.0910826875318715
2011-04-29,2010-06-30,0.03518866418365492,0.03523132826272494,-4.266407907001918e-05,1.1286334599134598,1.129522979858083
2011-05-31,2010-06-30,-0.009888984154433145,-0.009744739927229094,-0.00014424422720405068,1.1174724215122125,1.1185160721775371
2011-06-30,2010-06-30,-0.00698782470612125,-0.006893436233465882,-9.438847265536791e-05,1.1096637201167603,1.1108056529578747
2011-07-29,2011-06-30,0.004001106643539986,0.004059099456807369,-5.799281326738289e-05,1.1141036029994147,1.1153145235804145
2011-08-31,2011-06-30,-0.025622668982259917,-0.02585417580250994,0.00023150682025002353,1.0855572951678176,1.0864789858126738
2011-09-30,2011-06-30,-0.05331779461977628,-0.05311790461347978,-0.00019989000629649922,1.02767777425606,1.028767498679726
2011-10-31,2011-06-30,0.05106229326575222,0.05106884115592533,-6.547890173111415e-06,1.0801533581478187,1.0813054626561793
2011-11-30,2011-06-30,-0.022150061808288445,-0.021977082680736525,-0.0001729791275519206,1.0562278945024142,1.0575415231002525
2011-12-30,2011-06-30,0.0034607201737537454,0.003524977876288026,-6.42577025342806e-05,1.059883203685,1.0612693335724368
2012-01-31,2011-06-30,0.035195734784172455,0.03514878214067573,4.695264349672407e-05,1.0971865718240965,1.0985716581707545
2012-02-29,2011-06-30,0.020992208854413028,0.021006285634122955,-1.4076779709926851e-05,1.1202189414920853,1.1216485682118413
2012-03-30,2011-06-30,-0.0010735130603294711,-0.0012004218300066358,0.00012690876967716468,1.119016371827965,1.120302116784964
2012-04-30,2011-06-30,0.0019336926124662878,0.002093210279539476,-0.00015951766707318822,1.1211802055193976,1.122647144692008
2012-05-31,2011-06-30,-0.04381952292747212,-0.04325370699934975,-0.0005658159281223679,1.0720506237978125,1.0740884940318434
2012-06-29,2011-06-30,0.022362654808202497,0.021840261817532784,0.0005223929906697129,1.096024521834721,1.0975468679566984
2012-07-31,2012-06-29,0.011585034455935025,0.011630027927535844,-4.4993471600819276e-05,1.108722003684726,1.1103113686828143
2012-08-31,2012-06-29,0.014780948475529276,0.01476395555430245,1.699292122682612e-05,1.1251099664948756,1.126703956381484
2012-09-28,2012-06-29,0.0207172669685202,0.020524938988903677,0.0001923279796165224,1.1484191700396928,1.1498294863447704
2012-10-31,2012-06-29,-0.0033357805730102495,-0.00314929689871822,-0.00018648367429202964,1.144588295682602,1.14620833190937
2012-11-30,2012-06-29,0.005833028063398514,0.006105352661639384,-0.00027232459824087004,1.151264711332356,1.1532063379993862
2012-12-31,2012-06-29,0.008516242584612279,0.008579731356052087,-6.34887714398083e-05,1.161069160893166,1.1631005385775175
2013-01-31,2012-06-29,0.015519301476798256,0.015465927409133055,5.3374067665201697e-05,1.1790881432364801,1.181088967076681
2013-02-28,2012-06-29,-0.004774761964058675,-0.004885110075660854,0.00011034811160217945,1.173458278017882,1.1753192174633629
2013-03-28,2012-06-29,0.007787838590227063,0.007786567347466284,1.271242760778231e-06,1.182596981679451,1.1844709197049126
2013-04-30,2012-06-29,0.019666351493473608,0.01978208269419178,-0.00011573120071817211,1.2058543495962801,1.2079022213873805
2013-05-31,2012-06-29,-0.016348236380297733,-0.01681146602194936,0.0004632296416516267,1.18614075764887,1.1875956142346893
2013-06-28,2012-06-29,-0.020047415981874272,-0.020376551889772783,0.0003291359078985111,1.1623617004672275,1.1633965105771695
2013-07-31,2013-06-28,0.028857354569360002,0.028807376225038896,4.9978344321105483e-05,1.1959043841954546,1.1969109115562635
2013-08-30,2013-06-28,-0.012231368590202015,-0.012224658395274575,-6.7101949274405576e-06,1.1812768368737214,1.1822790845329116
2013-09-30,2013-06-28,0.03556035991823737,0.03564220348265542,-8.184356441805207e-05,1.2232834663560281,1.224418116237121
2013-10-31,2013-06-28,0.023286597222078573,0.023256774486509688,2.9822735568885844e-05,1.2517695757254892,1.2528941322436449
2013-11-29,2013-06-28,0.0026014743239101005,0.0027904729106948177,-0.0001889985867847173,1.2550260221361909,1.2563902993796394
2013-12-31,2013-06-28,0.005509166982766346,0.005466857535046762,4.230944771958355e-05,1.261940170059856,1.2632588061547627
2014-01-31,2013-06-28,-0.01191718291096312,-0.01172732494869872,-0.00018985796226439998,1.2469013982305608,1.2484441596406806
2014-02-28,2013-06-28,0.03043266260169545,0.030283607529030126,0.00014905507266532378,1.2848479277804938,1.2862515525931486
2014-03-31,2013-06-28,0.001683020529636575,0.0016154911602227215,6.752936941385344e-05,1.2870103532204094,1.2883294806061856
2014-04-30,2013-06-28,0.009149604395315395,0.009164064263435833,-1.4459868120438035e-05,1.2987859888050513,1.3001358147589397
2014-05-30,2013-06-28,0.012509252257212949,0.012671960687976007,-0.00016270843076305816,1.3150328303671475,1.3166110846925945
2014-06-30,2013-06-28,0.01391872242755391,0.013811624439890318,0.00010709798766359198,1.3333364073161484,1.334795622527765
2014-07-31,2014-06-30,-0.011788548686759636,-0.012005079207798643,0.00021653052103900658,1.317618306162673,1.3187712953530963
2014-08-29,2014-06-30,0.01443026146009486,0.014193587900166477,0.00023667355992838292,1.3366318828252077,1.3374893916539068
